Date,DayOfWeek,WeekNumber
1/1/1900,Monday,1
1/2/1900,Tuesday,1
1/3/1900,Wednesday,1
1/4/1900,Thursday,1
1/5/1900,Friday,1
1/6/1900,Saturday,1
1/7/1900,Sunday,1
1/8/1900,Monday,2
1/9/1900,Tuesday,2
1/10/1900,Wednesday,2
1/11/1900,Thursday,2
1/12/1900,Friday,2
1/13/1900,Saturday,2
1/14/1900,Sunday,2
1/15/1900,Monday,3
1/16/1900,Tuesday,3
1/17/1900,Wednesday,3
1/18/1900,Thursday,3
1/19/1900,Friday,3
1/20/1900,Saturday,3
1/21/1900,Sunday,3
1/22/1900,Monday,4
1/23/1900,Tuesday,4
1/24/1900,Wednesday,4
1/25/1900,Thursday,4
1/26/1900,Friday,4
1/27/1900,Saturday,4
1/28/1900,Sunday,4
1/29/1900,Monday,5
1/30/1900,Tuesday,5
1/31/1900,Wednesday,5
